15900 - [2024-04-12 11:42:44,584] : DEBUG -> Tam_entrada: 100000| T_execução: 0.8442785739898682 | Chamado pela 4 vez | Arquivo:A
11044 - [2024-04-12 11:42:45,646] : DEBUG -> Tam_entrada: 100000| T_execução: 0.8956034183502197 | Chamado pela 5 vez | Arquivo:A
16120 - [2024-04-12 11:42:46,528] : DEBUG -> Tam_entrada: 100000| T_execução: 0.7504181861877441 | Chamado pela 6 vez | Arquivo:A
18316 - [2024-04-12 11:42:47,448] : DEBUG -> Tam_entrada: 100000| T_execução: 0.7869164943695068 | Chamado pela 7 vez | Arquivo:A
7908 - [2024-04-12 11:42:48,444] : DEBUG -> Tam_entrada: 100000| T_execução: 0.7554757595062256 | Chamado pela 8 vez | Arquivo:A
17984 - [2024-04-12 11:42:49,340] : DEBUG -> Tam_entrada: 100000| T_execução: 0.7617402076721191 | Chamado pela 9 vez | Arquivo:A
17740 - [2024-04-12 11:42:50,234] : DEBUG -> Tam_entrada: 100000| T_execução: 0.7544384002685547 | Chamado pela 10 vez | Arquivo:A
11088 - [2024-04-12 11:42:51,125] : DEBUG -> Tam_entrada: 100000| T_execução: 0.7593958377838135 | Chamado pela 11 vez | Arquivo:A
5836 - [2024-04-12 11:42:52,032] : DEBUG -> Tam_entrada: 100000| T_execução: 0.7645578384399414 | Chamado pela 12 vez | Arquivo:A
17196 - [2024-04-12 11:42:52,132] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 0 vez | Arquivo:D
17372 - [2024-04-12 11:42:52,225] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 1 vez | Arquivo:D
2688 - [2024-04-12 11:42:52,317] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 2 vez | Arquivo:D
17924 - [2024-04-12 11:42:52,405] : DEBUG -> Tam_entrada: 100| T_execução: 0.000995635986328125 | Chamado pela 3 vez | Arquivo:D
10264 - [2024-04-12 11:42:52,496] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 4 vez | Arquivo:D
17776 - [2024-04-12 11:42:52,588] : DEBUG -> Tam_entrada: 100| T_execução: 0.0009980201721191406 | Chamado pela 5 vez | Arquivo:D
1520 - [2024-04-12 11:42:52,688] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 6 vez | Arquivo:D
18384 - [2024-04-12 11:42:52,784] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 7 vez | Arquivo:D
8140 - [2024-04-12 11:42:52,878] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 8 vez | Arquivo:D
16852 - [2024-04-12 11:42:52,973] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 9 vez | Arquivo:D
2392 - [2024-04-12 11:42:53,066] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 10 vez | Arquivo:D
3104 - [2024-04-12 11:42:53,160] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 11 vez | Arquivo:D
2692 - [2024-04-12 11:42:53,263] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 12 vez | Arquivo:D
12008 - [2024-04-12 11:42:53,369] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0009965896606445312 | Chamado pela 0 vez | Arquivo:D
18368 - [2024-04-12 11:42:53,473] : DEBUG -> Tam_entrada: 1000| T_execução: 0.002012491226196289 | Chamado pela 1 vez | Arquivo:D
18388 - [2024-04-12 11:42:53,569] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0019922256469726562 | Chamado pela 2 vez | Arquivo:D
17896 - [2024-04-12 11:42:53,664] : DEBUG -> Tam_entrada: 1000| T_execução: 0.002023935317993164 | Chamado pela 3 vez | Arquivo:D
16776 - [2024-04-12 11:42:53,760] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0010259151458740234 | Chamado pela 4 vez | Arquivo:D
6540 - [2024-04-12 11:42:53,858] : DEBUG -> Tam_entrada: 1000| T_execução: 0.001994609832763672 | Chamado pela 5 vez | Arquivo:D
6104 - [2024-04-12 11:42:53,954] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0020287036895751953 | Chamado pela 6 vez | Arquivo:D
18416 - [2024-04-12 11:42:54,053] : DEBUG -> Tam_entrada: 1000| T_execução: 0.001537322998046875 | Chamado pela 7 vez | Arquivo:D
17460 - [2024-04-12 11:42:54,151] : DEBUG -> Tam_entrada: 1000| T_execução: 0.002023935317993164 | Chamado pela 8 vez | Arquivo:D
9368 - [2024-04-12 11:42:54,248] : DEBUG -> Tam_entrada: 1000| T_execução: 0.001995086669921875 | Chamado pela 9 vez | Arquivo:D
1168 - [2024-04-12 11:42:54,347] : DEBUG -> Tam_entrada: 1000| T_execução: 0.001992940902709961 | Chamado pela 10 vez | Arquivo:D
18344 - [2024-04-12 11:42:54,441] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0019931793212890625 | Chamado pela 11 vez | Arquivo:D
17640 - [2024-04-12 11:42:54,538] : DEBUG -> Tam_entrada: 1000| T_execução: 0.000997781753540039 | Chamado pela 12 vez | Arquivo:D
17688 - [2024-04-12 11:42:54,658] : DEBUG -> Tam_entrada: 10000| T_execução: 0.02313709259033203 | Chamado pela 0 vez | Arquivo:D
10568 - [2024-04-12 11:42:54,786] : DEBUG -> Tam_entrada: 10000| T_execução: 0.029616355895996094 | Chamado pela 1 vez | Arquivo:D
17412 - [2024-04-12 11:42:54,910] : DEBUG -> Tam_entrada: 10000| T_execução: 0.022187471389770508 | Chamado pela 2 vez | Arquivo:D
9876 - [2024-04-12 11:42:55,030] : DEBUG -> Tam_entrada: 10000| T_execução: 0.02618718147277832 | Chamado pela 3 vez | Arquivo:D
17608 - [2024-04-12 11:42:55,195] : DEBUG -> Tam_entrada: 10000| T_execução: 0.0395359992980957 | Chamado pela 4 vez | Arquivo:D
