12404 - [2024-04-12 11:41:40,410] : DEBUG -> Tam_entrada: 100000| T_execução: 0.5168969631195068 | Chamado pela 3 vez | Arquivo:A
17984 - [2024-04-12 11:41:41,085] : DEBUG -> Tam_entrada: 100000| T_execução: 0.5391495227813721 | Chamado pela 4 vez | Arquivo:A
9456 - [2024-04-12 11:41:41,856] : DEBUG -> Tam_entrada: 100000| T_execução: 0.6372361183166504 | Chamado pela 5 vez | Arquivo:A
18384 - [2024-04-12 11:41:42,612] : DEBUG -> Tam_entrada: 100000| T_execução: 0.5744469165802002 | Chamado pela 6 vez | Arquivo:A
18368 - [2024-04-12 11:41:43,393] : DEBUG -> Tam_entrada: 100000| T_execução: 0.6217355728149414 | Chamado pela 7 vez | Arquivo:A
18408 - [2024-04-12 11:41:44,154] : DEBUG -> Tam_entrada: 100000| T_execução: 0.6219131946563721 | Chamado pela 8 vez | Arquivo:A
17472 - [2024-04-12 11:41:44,885] : DEBUG -> Tam_entrada: 100000| T_execução: 0.5774002075195312 | Chamado pela 9 vez | Arquivo:A
16968 - [2024-04-12 11:41:45,608] : DEBUG -> Tam_entrada: 100000| T_execução: 0.5835473537445068 | Chamado pela 10 vez | Arquivo:A
9328 - [2024-04-12 11:41:46,249] : DEBUG -> Tam_entrada: 100000| T_execução: 0.48969173431396484 | Chamado pela 11 vez | Arquivo:A
4448 - [2024-04-12 11:41:46,902] : DEBUG -> Tam_entrada: 100000| T_execução: 0.5113017559051514 | Chamado pela 12 vez | Arquivo:A
9668 - [2024-04-12 11:41:47,008] : DEBUG -> Tam_entrada: 100| T_execução: 0.0010297298431396484 | Chamado pela 0 vez | Arquivo:D
13068 - [2024-04-12 11:41:47,106] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 1 vez | Arquivo:D
17724 - [2024-04-12 11:41:47,200] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 2 vez | Arquivo:D
7888 - [2024-04-12 11:41:47,300] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 3 vez | Arquivo:D
15760 - [2024-04-12 11:41:47,394] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 4 vez | Arquivo:D
8208 - [2024-04-12 11:41:47,485] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 5 vez | Arquivo:D
17940 - [2024-04-12 11:41:47,579] : DEBUG -> Tam_entrada: 100| T_execução: 0.000997304916381836 | Chamado pela 6 vez | Arquivo:D
9028 - [2024-04-12 11:41:47,700] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 7 vez | Arquivo:D
10800 - [2024-04-12 11:41:47,802] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 8 vez | Arquivo:D
17972 - [2024-04-12 11:41:47,895] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 9 vez | Arquivo:D
4512 - [2024-04-12 11:41:47,987] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 10 vez | Arquivo:D
12404 - [2024-04-12 11:41:48,083] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 11 vez | Arquivo:D
17980 - [2024-04-12 11:41:48,178] : DEBUG -> Tam_entrada: 100| T_execução: 0.0 | Chamado pela 12 vez | Arquivo:D
18300 - [2024-04-12 11:41:48,279] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0009965896606445312 | Chamado pela 0 vez | Arquivo:D
18268 - [2024-04-12 11:41:48,378] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0019915103912353516 | Chamado pela 1 vez | Arquivo:D
18236 - [2024-04-12 11:41:48,473] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0025675296783447266 | Chamado pela 2 vez | Arquivo:D
18220 - [2024-04-12 11:41:48,567] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0019948482513427734 | Chamado pela 3 vez | Arquivo:D
16852 - [2024-04-12 11:41:48,667] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0019648075103759766 | Chamado pela 4 vez | Arquivo:D
4944 - [2024-04-12 11:41:48,773] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0025556087493896484 | Chamado pela 5 vez | Arquivo:D
2480 - [2024-04-12 11:41:48,884] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0019965171813964844 | Chamado pela 6 vez | Arquivo:D
18412 - [2024-04-12 11:41:48,986] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0010004043579101562 | Chamado pela 7 vez | Arquivo:D
17504 - [2024-04-12 11:41:49,088] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0009982585906982422 | Chamado pela 8 vez | Arquivo:D
18292 - [2024-04-12 11:41:49,182] : DEBUG -> Tam_entrada: 1000| T_execução: 0.002612590789794922 | Chamado pela 9 vez | Arquivo:D
18416 - [2024-04-12 11:41:49,279] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0009975433349609375 | Chamado pela 10 vez | Arquivo:D
1720 - [2024-04-12 11:41:49,382] : DEBUG -> Tam_entrada: 1000| T_execução: 0.0025482177734375 | Chamado pela 11 vez | Arquivo:D
16400 - [2024-04-12 11:41:49,479] : DEBUG -> Tam_entrada: 1000| T_execução: 0.000997781753540039 | Chamado pela 12 vez | Arquivo:D
17476 - [2024-04-12 11:41:49,606] : DEBUG -> Tam_entrada: 10000| T_execução: 0.02218174934387207 | Chamado pela 0 vez | Arquivo:D
15708 - [2024-04-12 11:41:49,729] : DEBUG -> Tam_entrada: 10000| T_execução: 0.02315545082092285 | Chamado pela 1 vez | Arquivo:D
9176 - [2024-04-12 11:41:49,855] : DEBUG -> Tam_entrada: 10000| T_execução: 0.029224872589111328 | Chamado pela 2 vez | Arquivo:D
8644 - [2024-04-12 11:41:49,981] : DEBUG -> Tam_entrada: 10000| T_execução: 0.02812337875366211 | Chamado pela 3 vez | Arquivo:D
16408 - [2024-04-12 11:41:50,105] : DEBUG -> Tam_entrada: 10000| T_execução: 0.024700641632080078 | Chamado pela 4 vez | Arquivo:D
3764 - [2024-04-12 11:41:50,233] : DEBUG -> Tam_entrada: 10000| T_execução: 0.025554180145263672 | Chamado pela 5 vez | Arquivo:D
1812 - [2024-04-12 11:41:50,355] : DEBUG -> Tam_entrada: 10000| T_execução: 0.023171663284301758 | Chamado pela 6 vez | Arquivo:D
17840 - [2024-04-12 11:41:50,483] : DEBUG -> Tam_entrada: 10000| T_execução: 0.025475740432739258 | Chamado pela 7 vez | Arquivo:D
15068 - [2024-04-12 11:41:50,607] : DEBUG -> Tam_entrada: 10000| T_execução: 0.02448415756225586 | Chamado pela 8 vez | Arquivo:D
5124 - [2024-04-12 11:41:50,733] : DEBUG -> Tam_entrada: 10000| T_execução: 0.02167534828186035 | Chamado pela 9 vez | Arquivo:D
7856 - [2024-04-12 11:41:50,859] : DEBUG -> Tam_entrada: 10000| T_execução: 0.02446746826171875 | Chamado pela 10 vez | Arquivo:D
