18348 - [2024-04-12 11:41:43,408] : DEBUG -> Running mergesort algorithm on .\input\A_100000.txt - Time 8, | Type:A
18348 - [2024-04-12 11:41:44,173] : DEBUG -> Running mergesort algorithm on .\input\A_100000.txt - Time 9, | Type:A
18348 - [2024-04-12 11:41:44,900] : DEBUG -> Running mergesort algorithm on .\input\A_100000.txt - Time 10, | Type:A
18348 - [2024-04-12 11:41:45,624] : DEBUG -> Running mergesort algorithm on .\input\A_100000.txt - Time 11, | Type:A
18348 - [2024-04-12 11:41:46,264] : DEBUG -> Running mergesort algorithm on .\input\A_100000.txt - Time 12, | Type:A
18348 - [2024-04-12 11:41:46,916] : DEBUG -> Running mergesort algorithm on .\input\D_100.txt - Time 0, | Type:D
18348 - [2024-04-12 11:41:47,016] : DEBUG -> Running mergesort algorithm on .\input\D_100.txt - Time 1, | Type:D
18348 - [2024-04-12 11:41:47,115] : DEBUG -> Running mergesort algorithm on .\input\D_100.txt - Time 2, | Type:D
18348 - [2024-04-12 11:41:47,210] : DEBUG -> Running mergesort algorithm on .\input\D_100.txt - Time 3, | Type:D
18348 - [2024-04-12 11:41:47,310] : DEBUG -> Running mergesort algorithm on .\input\D_100.txt - Time 4, | Type:D
18348 - [2024-04-12 11:41:47,402] : DEBUG -> Running mergesort algorithm on .\input\D_100.txt - Time 5, | Type:D
18348 - [2024-04-12 11:41:47,495] : DEBUG -> Running mergesort algorithm on .\input\D_100.txt - Time 6, | Type:D
18348 - [2024-04-12 11:41:47,588] : DEBUG -> Running mergesort algorithm on .\input\D_100.txt - Time 7, | Type:D
18348 - [2024-04-12 11:41:47,709] : DEBUG -> Running mergesort algorithm on .\input\D_100.txt - Time 8, | Type:D
18348 - [2024-04-12 11:41:47,811] : DEBUG -> Running mergesort algorithm on .\input\D_100.txt - Time 9, | Type:D
18348 - [2024-04-12 11:41:47,905] : DEBUG -> Running mergesort algorithm on .\input\D_100.txt - Time 10, | Type:D
18348 - [2024-04-12 11:41:47,996] : DEBUG -> Running mergesort algorithm on .\input\D_100.txt - Time 11, | Type:D
18348 - [2024-04-12 11:41:48,092] : DEBUG -> Running mergesort algorithm on .\input\D_100.txt - Time 12, | Type:D
18348 - [2024-04-12 11:41:48,187] : DEBUG -> Running mergesort algorithm on .\input\D_1000.txt - Time 0, | Type:D
18348 - [2024-04-12 11:41:48,290] : DEBUG -> Running mergesort algorithm on .\input\D_1000.txt - Time 1, | Type:D
18348 - [2024-04-12 11:41:48,387] : DEBUG -> Running mergesort algorithm on .\input\D_1000.txt - Time 2, | Type:D
18348 - [2024-04-12 11:41:48,481] : DEBUG -> Running mergesort algorithm on .\input\D_1000.txt - Time 3, | Type:D
18348 - [2024-04-12 11:41:48,577] : DEBUG -> Running mergesort algorithm on .\input\D_1000.txt - Time 4, | Type:D
18348 - [2024-04-12 11:41:48,677] : DEBUG -> Running mergesort algorithm on .\input\D_1000.txt - Time 5, | Type:D
18348 - [2024-04-12 11:41:48,782] : DEBUG -> Running mergesort algorithm on .\input\D_1000.txt - Time 6, | Type:D
18348 - [2024-04-12 11:41:48,893] : DEBUG -> Running mergesort algorithm on .\input\D_1000.txt - Time 7, | Type:D
18348 - [2024-04-12 11:41:48,996] : DEBUG -> Running mergesort algorithm on .\input\D_1000.txt - Time 8, | Type:D
18348 - [2024-04-12 11:41:49,097] : DEBUG -> Running mergesort algorithm on .\input\D_1000.txt - Time 9, | Type:D
18348 - [2024-04-12 11:41:49,192] : DEBUG -> Running mergesort algorithm on .\input\D_1000.txt - Time 10, | Type:D
18348 - [2024-04-12 11:41:49,288] : DEBUG -> Running mergesort algorithm on .\input\D_1000.txt - Time 11, | Type:D
18348 - [2024-04-12 11:41:49,392] : DEBUG -> Running mergesort algorithm on .\input\D_1000.txt - Time 12, | Type:D
18348 - [2024-04-12 11:41:49,489] : DEBUG -> Running mergesort algorithm on .\input\D_10000.txt - Time 0, | Type:D
18348 - [2024-04-12 11:41:49,616] : DEBUG -> Running mergesort algorithm on .\input\D_10000.txt - Time 1, | Type:D
18348 - [2024-04-12 11:41:49,739] : DEBUG -> Running mergesort algorithm on .\input\D_10000.txt - Time 2, | Type:D
18348 - [2024-04-12 11:41:49,865] : DEBUG -> Running mergesort algorithm on .\input\D_10000.txt - Time 3, | Type:D
18348 - [2024-04-12 11:41:49,990] : DEBUG -> Running mergesort algorithm on .\input\D_10000.txt - Time 4, | Type:D
18348 - [2024-04-12 11:41:50,116] : DEBUG -> Running mergesort algorithm on .\input\D_10000.txt - Time 5, | Type:D
